Код	Артикул	   Наименование	Единицаизмерения	Длина(м)	Количество	Тип материала	Цена	ГОСТ
1	Б1	Брус обрезной, 100х150х6000 мм, 1 сорт	шт	6		Брус	800 	
2	Б2	Брус обрезной, 100х200х6000 мм, 1 сорт	шт	6		Брус	1080 	
3	Б3	Брус обрезной, 150х150х6000 мм, 1 сорт	шт	6		Брус	1200 	
4	Б4	Брус обрезной, 150х200х6000 мм, 1 сорт	шт	6		Брус	1700 	
5	Б5	Брус обрезной, 100x100x6000 мм, 1 сорт	шт	6		Брус	530 	
6	Б6	Брус обрезной, 100х100х6000 мм, 2 сорт	шт	6		Брус	390 	
7	Б7	Брусок обрезной, 50x50x6000 мм	шт	6		Брус	130 	
8	Б8	Брусок обрезной, 50x50x3000 мм	шт	3		Брус	70 	
9	Б9	Брусок обрезной, 40x50x3000 мм	шт	3		Брус	60 	
10	Б10	Брусок обрезной, 30x50x3000 мм	шт	3		Брус	50 	
11	Б11	Брусок обрезной, 25x50x3000 мм	шт	3		Брус	35 	
12	Б12	Брусок строганный, 45х45х3000 мм	шт	3		Брус	130 	
13	В13	Вагонка, 14х90х6000 мм, класс АВ	шт	6		Вагонка	120 	
14	В14	Вагонка, 14х90х5000 мм, класс АВ	шт	5		Вагонка	102 	
15	В15	Вагонка, 14х90х4000 мм, класс АВ	шт	4		Вагонка	82 	
16	В16	Вагонка, 14х90х3000 мм, класс АВ	шт	3		Вагонка	65 	
17	В17	Вагонка, 14х90х2500 мм, класс АВ	шт	2,5		Вагонка	60 	
18	В18	Вагонка, 14х90х2000 мм, класс АВ	шт	2		Вагонка	48 	
19	Д19	Доска обрезная, 25х100х6000 мм, 1 сорт	шт	6		Доска	130 	
20	Д20	Доска обрезная, 25х150х6000 мм, 1 сорт	шт	6		Доска	200 	
21	Д21	Доска обрезная, 30х150х6000 мм, 1 сорт	шт	6		Доска	270 	
22	Д22	Доска обрезная, 40х150х6000 мм, 1 сорт	шт	6		Доска	330 	
23	Д23	Доска обрезная, 40х200х6000 мм, 1 сорт	шт	6		Доска	440 	
24	Д24	Доска обрезная, 50х100х6000 мм, 1 сорт	шт	6		Доска	280 	
25	Д25	Доска обрезная, 50х150х6000 мм, 1 сорт	шт	6		Доска	400 	
26	Д26	Доска обрезная, 50х200х6000 мм, 1 сорт	шт	6		Доска	530 	
27	Д27	Доска обрезная, 25х100х6000 мм, 2 сорт	шт	6		Доска	100 	
28	Д28	Доска обрезная, 25х150х6000 мм, 2 сорт	шт	6		Доска	115 	
29	Д29	Доска обрезная, 50х100х6000 мм, 2 сорт	шт	6		Доска	195 	
30	Д30	Доска обрезная, 50х150х6000 мм, 2 сорт	шт	6		Доска	290 	
31	Д31	Доска обрезная, 50х200х6000 мм, 2 сорт	шт	6		Доска	390 	
32	Д32	Доска половая, 36х135х6000 мм	шт	6		Доска	400 	
33	Д33	Доска половая, 28х135х6000 мм	шт	6		Доска	330 	
34	Д34	Доска строганная, 20х90х6000 мм	шт	6		Доска	220 	
35	Д35	Доска строганная, 20х140х6000 мм	шт	6		Доска	320 	
36	Д36	Доска строганная, 20х190х6000 мм	шт	6		Доска	420 	
37	Д37	Доска строганная, 28х140х6000 мм	шт	6		Доска	380 	
38	Д38	Доска строганная, 35х140х6000 мм	шт	6		Доска	450 	
39	Д39	Доска строганная, 45х90х6000 мм	шт	6		Доска	400 	
40	Д40	Доска строганная, 45х145х6000 мм	шт	6		Доска	620 	
41	Д41	Доска строганная, 45х190х6000 мм	шт	6		Доска	770 	
42	Е42	Евровагонка, 14х90х6000 мм, класс АВ	шт	6		Евровагонка	120 	
43	Е43	Евровагонка, 14х90х5000 мм, класс АВ	шт	5		Евровагонка	102 	
44	Е44	Евровагонка, 14х90х4000 мм, класс АВ	шт	4		Евровагонка	82 	
45	Е45	Евровагонка, 14х90х3000 мм, класс АВ	шт	3		Евровагонка	65 	
46	Е46	Евровагонка, 14х90х2500 мм, класс АВ	шт	2,5		Евровагонка	60 	
47	Е47	Евровагонка, 14х90х2000 мм, класс АВ	шт	2		Евровагонка	48 	
48	И48	Имитация бруса, 16х135х6000 мм	шт	6		Имитация Бруса	230 	
49	И49	Имитация бруса, 21х135х6000 мм	шт	6		Имитация Бруса	290 	
50	И50	Имитация бруса, 21х188х6000 мм	шт	6		Имитация Бруса	390 	
51	Н51	Наличник, 70 мм	м			Наличник	100 	
52	Н52	Наличник, 90 мм	м			Наличник	100 	
53	Р53	Раскладка (нащельник), 45х06 мм	м			Раскладка	25 	
54	Р54	Раскладка (нащельник), 35х06 мм	м			Раскладка	25 	
55	П55	Плинтус, 25 мм	м			Плинтус	25 	
56	П56	Плинтус, 35 мм	м			Плинтус	30 	
57	П57	Плинтус, 45 мм	м			Плинтус	35 	
58	У58	Уголок, 25х25 мм	м			Уголое	50 	
59	У59	Уголок, 35х35 мм	м			Уголое	50 	
60	У60	Уголок, 45х45 мм	м			Уголое	50 	
61	Ш61	Штапик, 10х10 мм	м			Штапик	9 	
62	д62	Доска обрезная 25*100*6000	шт	6	 66 шт	Доска	 8000	ГОСТ 8486-86
63	д63	 Доска обрезная 25*150*6000	шт	6	 44 шт	Доска	 8000	ГОСТ 8486-86
64	д64	 Доска обрезная 30*150*6000	шт	6	 37 шт	Доска	 8000	ГОСТ 8486-86
65	д65	 Доска обрезная 40*150*6000	шт	6	 27 шт	Доска	 8000	ГОСТ 8486-86
66	д66	 Доска обрезная 50*150*6000	шт		 22 шт	Доска	 8000	ГОСТ 8486-86
67	д67	 Доска обрезная 50*200*6000	шт		 16 шт	Доска	 8000	ГОСТ 8486-86
68	д68	 Брус 50*100*6000	шт		 33 шт	Доска	 8000	ГОСТ 8486-86
69	д69	 Брус 100*100*6000	шт		 16 шт	Доска	 8000	ГОСТ 8486-86
70	д70	 Брус 100*150*6000	шт		 11 шт	Доска	 8000	ГОСТ 8486-86
71	д71	 Брус 150*150*6000	шт		 7 шт	Доска	 8000	ГОСТ 8486-86
72	д72	 Брус 200*200*6000	шт		4 шт	Доска	8000	ГОСТ 8486-86
73	д73	 Доска обрезная 25*100*6000	шт		 66 шт	Доска	 7200	
74	д74	 Доска обрезная 25*150*6000	шт		 44 шт	Доска	 7200	
75	д75	 Доска обрезная 30*150*6000	шт		 37 шт	Доска	 7200	
